accountId,averageAbsLoad,averageAccPedalPosD,averageAccPedalPosE,averageAcceleration,averageAltitude,averageAmbientAirTemp,averageClimb,averageCommThrottleAc,averageEngineTime,averageFuelPressure,averageGPSAcceleration,averageGPSLatitude,averageGPSLongitude,averageGear,averageGpsSpeed,averageHeadingChange,averageIncline,averageIntakeAirTemp,averageLoad,averageLongTermFuelTrim1,averageLongTermFuelTrim2,averageMaf,averageManifoldPressure,averageO211,averageO212,averageRelThrottlePos,averageRpm,averageShortTermFuelTrim1,averageShortTermFuelTrim2,averageSpeed,averageTemp,averageThrottlePos,averageThrottlePosB,averageTimingAdvance,count,driver,driverVehicle,eventId.day,eventId.hour,eventId.minute,eventId.month,eventId.quarter,eventId.year,eventTime.$date,maxAbsLoad,maxAccPedalPosD,maxAccPedalPosE,maxAcceleration,maxAltitude,maxAmbientAirTemp,maxClimb,maxCommThrottleAc,maxEngineTime,maxFuelPressure,maxGPSAcceleration,maxGear,maxGpsSpeed,maxHeadingChange,maxIncline,maxIntakeAirTemp,maxLoad,maxLongTermFuelTrim1,maxLongTermFuelTrim2,maxMaf,maxManifoldPressure,maxO211,maxO212,maxRelThrottlePos,maxRpm,maxShortTermFuelTrim1,maxShortTermFuelTrim2,maxSpeed,maxTemp,maxThrottlePos,maxThrottlePosB,maxTimingAdvance,minAbsLoad,minAccPedalPosD,minAccPedalPosE,minAcceleration,minAltitude,minAmbientAirTemp,minClimb,minCommThrottleAc,minEngineTime,minFuelPressure,minGPSAcceleration,minGear,minGpsSpeed,minHeadingChange,minIncline,minIntakeAirTemp,minLoad,minLongTermFuelTrim1,minLongTermFuelTrim2,minMaf,minManifoldPressure,minO211,minO212,minRelThrottlePos,minRpm,minShortTermFuelTrim1,minShortTermFuelTrim2,minSpeed,minTemp,minThrottlePos,minThrottlePosB,minTimingAdvance,vehicle
17350,,,,-0.176991647,,,,,,,-0.176991647,0,0,1,,,,82,47.25490196,-3,-2,3.3267414,,,12499,,1876,-1,-2.5,56.86761964,178,23.92156863,,31.5,2,anupam,14,2,0,59,6,0,2017,1.49637E+12,,,,-0.176664025,,,,,,,-0.176664025,1,,,,82,52.94117647,-3,-2,3.98018484,,,14099,,1885,1,-1,57.17837166,179,25.09803922,,38.5,,,,-0.17731927,,,,,,,-0.17731927,1,,,,82,41.56862745,-3,-2,2.67329796,,,10899,,1867,-3,-4,56.55686762,177,22.74509804,,24.5,toyota-highlander-2005
17350,,,,0.176109696,,,,,,,0.176109696,0,0,1,,,,81.33333333,52.15686275,-3.333333333,-2.666666667,3.63273988,,,20032.33333,,1848.666667,-3,-2,56.55686762,178.3333333,24.31372549,,24.66666667,3,anupam,14,2,0,59,6,1,2017,1.49637E+12,,,,0.706054007,,,,,,,0.706054007,1,,,,82,64.31372549,-3,-2,4.01325384,,,21899,,1871,-2,-1,57.7998757,185,25.49019608,,27.5,,,,-0.177724918,,,,,,,-0.177724918,1,,,,80,29.41176471,-4,-3,3.21298404,,,18699,,1835,-4,-3,55.31385954,174,23.1372549,,23,toyota-highlander-2005
17350,,,,0.537083505,,,,,,,0.537083505,0,0,1.428571429,,,,81.42857143,64.9859944,-2.714285714,-1.857142857,4.323346577,,,22756.14286,,1892,-2.285714286,-1.571428571,52.91662967,173.5714286,25.32212885,,21,7,anupam,14,2,0,59,6,2,2017,1.49637E+12,,,,1.376912855,,,,,,,1.376912855,2,,,,82,81.56862745,-1,-1,5.48416296,,,27299,,2027,0,0,57.7998757,185,28.23529412,,29.5,,,,-0.176915468,,,,,,,-0.176915468,1,,,,80,46.66666667,-4,-4,3.3267414,,,17899,,1757,-4,-3,46.61280298,167,22.35294118,,15.5,toyota-highlander-2005
17350,,,,0.178047759,,,,,,,0.178047759,0,0,1.5,,,,83.5,52.15686275,-2.5,-2.25,4.9504293,,,21499,,1957.25,1.5,0.75,48.16656308,173,27.54901961,,18.75,4,anupam,14,2,0,59,6,3,2017,1.49637E+12,,,,1.057279342,,,,,,,1.057279342,2,,,,86,66.66666667,-1,-1,6.29104656,,,26499,,2067,4,2,56.55686762,183,30.98039216,,24,,,,-0.345088306,,,,,,,-0.345088306,1,,,,82,38.03921569,-4,-4,3.7301832,,,10899,,1842,-2,0,37.91174643,163,24.31372549,,14,toyota-highlander-2005
17350,,,,-0.265782165,,,,,,,-0.265782165,0,0,1,,,,81,34.41176471,-4.25,-3.25,2.05589973,,,23449,,1833.75,-1.5,-1.5,56.2461156,184,21.17647059,,31.875,4,anupam,14,2,1,0,6,0,2017,1.49637E+12,,,,0,,,,,,,0,1,,,,82,49.41176471,-4,-3,3.5582244,,,25699,,1881,-1,3,57.7998757,185,23.92156863,,41,,,,-0.533022333,,,,,,,-0.533022333,1,,,,80,20,-5,-4,0.66667104,,,21899,,1743,-2,-6,54.07085146,183,17.64705882,,22.5,toyota-highlander-2005
17350,,,,0.034658942,,,,,,,0.034658942,0,0,1,,,,80.4,50.35294118,-3.6,-3,2.98546932,,,22539,,1875.4,-0.6,-0.4,57.42697328,184.2,22.98039216,,30.1,5,anupam,14,2,1,0,6,1,2017,1.49637E+12,,,,0.177572583,,,,,,,0.177572583,1,,,,82,59.21568627,-3,-2,3.89155992,,,24299,,1899,1,0,57.7998757,185,25.09803922,,36,,,,-0.177979393,,,,,,,-0.177979393,1,,,,80,38.43137255,-4,-4,2.25398304,,,21099,,1857,-3,-2,57.17837166,183,21.56862745,,21.5,toyota-highlander-2005
17350,,,,-0.218864702,,,,,,,-0.218864702,0,0,1,,,,81,38.52941176,-4,-3.25,1.91601786,,,13549,,1549.25,-1.5,-1.25,48.4773151,183,20.39215686,,25.875,4,anupam,14,2,1,0,6,2,2017,1.49637E+12,,,,0.509568767,,,,,,,0.509568767,1,,,,82,48.23529412,-4,-3,3.28970412,,,24299,,1875,2,1,57.7998757,183,23.52941176,,30,,,,-1.738959261,,,,,,,-1.738959261,1,,,,80,14.50980392,-4,-4,0.57804612,,,99,,1094,-6,-4,36.66873835,183,17.25490196,,22.5,toyota-highlander-2005
17350,,,,-0.978421062,,,,,,,-0.978421062,0,0,1.25,,,,81,28.52941176,-3.75,-3,3.00398796,,,17649,,1804.75,1,1.5,50.96333126,183,22.94117647,,26.625,4,anupam,14,2,1,0,6,3,2017,1.49637E+12,,,,0,,,,,,,0,2,,,,82,45.49019608,-3,-2,5.37305112,,,25099,,2026,4,7,57.17837166,183,27.05882353,,31.5,,,,-2.317049761,,,,,,,-2.317049761,1,,,,80,10.19607843,-4,-4,0.79101048,,,99,,1464,-1,-1,41.01926663,183,18.03921569,,16.5,toyota-highlander-2005
17350,,,,-0.133065381,,,,,,,-0.133065381,0,0,0,,,,84,25.19607843,-4,-4,0.47784705,,,17599,,604,-0.5,0.25,0,184,16.8627451,,16.875,4,anupam,14,2,1,1,6,0,2017,1.49637E+12,,,,0,,,,,,,0,0,,,,86,27.05882353,-4,-4,0.50132604,,,28899,,610,1,1,0,185,16.8627451,,19,,,,-0.532261524,,,,,,,-0.532261524,0,,,,82,23.52941176,-4,-4,0.45370668,,,6299,,599,-2,0,0,183,16.8627451,,15,toyota-highlander-2005
17350,,,,-2.470402115,,,,,,,-2.470402115,0,0,1,,,,84,24.70588235,-4,-4,0.48875982,,,16999,,656.75,-1.25,0,5.748912368,184,16.96078431,,19.625,4,anupam,14,2,1,1,6,1,2017,1.49637E+12,,,,0,,,,,,,0,2,,,,86,28.23529412,-4,-4,0.5423316,,,28899,,793,1,1,21.13113735,185,17.25490196,,21,,,,-5.475028483,,,,,,,-5.475028483,0,,,,82,22.74509804,-4,-4,0.45370668,,,4699,,610,-6,-1,0,183,16.8627451,,18.5,toyota-highlander-2005
17350,,,,0,,,,,,,0,0,0,0,,,,85,24.01960784,-4,-3.75,0.89319369,,,27349,,715,0.75,0.75,0,184,18.33333333,,18.875,4,anupam,14,2,1,1,6,2,2017,1.49637E+12,,,,0,,,,,,,0,0,,,,86,24.70588235,-4,-3,2.19445884,,,28899,,1024,1,2,0,185,22.74509804,,25,,,,0,,,,,,,0,0,,,,84,23.52941176,-4,-4,0.45370668,,,24299,,610,0,0,0,183,16.8627451,,16,toyota-highlander-2005
17350,,,,0,,,,,,,0,0,0,0,,,,84.4,24.94117647,-4,-4,0.47090256,,,15979,,607.2,0,1,0,183.8,16.8627451,,16.3,5,anupam,14,2,1,1,6,3,2017,1.49637E+12,,,,0,,,,,,,0,0,,,,86,26.66666667,-4,-4,0.49074396,,,28899,,615,1,3,0,185,16.8627451,,18.5,,,,0,,,,,,,0,0,,,,82,23.52941176,-4,-4,0.45370668,,,7099,,596,-1,0,0,183,16.8627451,,15,toyota-highlander-2005
